Session,Start,2/28/2018 1:14:43 PM,
BPM,100.0000,
5,3.29671
15,9.095052
16,10.02278
18,11.01678
20,12.12674
21,12.9222
22,13.23674
23,13.53493
24,13.91597
25,14.57861
26,15.27441
27,15.87081
28,16.30154
29,17.29554
30,18.38904
31,18.91918
32,19.35001
33,19.86352
34,20.34381
35,20.80768
36,21.28822
37,21.75207
38,22.59702
39,22.96148
40,23.55774
41,24.13758
TotalNumberOfBeats,100,
NumberOfHits,26,
NumberOfMisses,16,
NumberOfMis-Hits,18,
AverageTimeOffsets,0.2854363,
TimeOffsetsVariance,0.1253792,
Tendency,Early,
